country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Namibia,76e3,82e3,91e3,102e3,115e3,126e3,13e4,139e3,166e3,194e3,233e3,275e3,32e4,364e3,415e3,477e3,56e4,653e3,727e3,784e3,836e3
Nepal,1219e3,1336e3,1453e3,1579e3,1733e3,1942e3,2192e3,2469e3,2694e3,3004e3,341e4,393e4,4631e3,5431e3,6387e3,7482e3,8706e3,1006e4,11388e3,1239e4,12932e3
Netherlands,2212e3,2389e3,2517e3,268e4,2785e3,289e4,303e4,3181e3,3618e3,3994e3,4395e3,4771e3,4895e3,4907e3,469e4,4377e3,4124e3,4051e3,4124e3,422e4,4195e3
Netherlands Antilles,19e3,21e3,23e3,25e3,26e3,28e3,3e4,34e3,39e3,43e3,49e3,55e3,65e3,69e3,71e3,72e3,69e3,63e3,55e3,47e3,44e3
New Caledonia,12e3,14e3,14e3,16e3,18e3,2e4,23e3,27e3,32e3,36e3,44e3,53e3,61e3,7e4,76e3,79e3,84e3,87e3,92e3,95e3,95e3
New Zealand,414e3,466e3,509e3,556e3,586e3,603e3,615e3,648e3,714e3,835e3,968e3,1105e3,1178e3,121e4,1195e3,1175e3,1197e3,1252e3,1297e3,1315e3,1318e3
Nicaragua,165e3,187e3,212e3,248e3,29e4,332e3,375e3,411e3,435e3,524e3,639e3,76e4,909e3,105e4,1217e3,1435e3,1654e3,188e4,2027e3,2077e3,2113e3
Niger,268e3,327e3,388e3,448e3,51e4,607e3,75e4,861e3,976e3,1126e3,1351e3,1621e3,186e4,2193e3,259e4,3028e3,3651e3,4416e3,538e4,6618e3,8363e3
Nigeria,5444e3,5835e3,6368e3,7075e3,7872e3,8791e3,9982e3,1118e4,12473e3,1412e4,15955e3,17917e3,20146e3,22951e3,26879e3,31762e3,37277e3,43133e3,49228e3,55899e3,63285e3
Norway,812e3,876e3,926e3,964e3,952e3,904e3,856e3,854e3,948e3,1058e3,1173e3,1263e3,1326e3,1389e3,1397e3,1387e3,1372e3,1389e3,1436e3,1467e3,1482e3
Oman,65e3,71e3,74e3,79e3,85e3,98e3,127e3,182e3,243e3,305e3,321e3,421e3,502e3,596e3,724e3,876e3,1009e3,1121e3,1204e3,1223e3,1241e3
Pakistan,8255e3,8392e3,8521e3,877e4,9231e3,10152e3,11485e3,13524e3,15567e3,17608e3,20536e3,23861e3,28066e3,33097e3,38873e3,45905e3,54735e3,62938e3,70204e3,76434e3,81377e3
Panama,135e3,151e3,164e3,183e3,205e3,229e3,262e3,304e3,359e3,43e4,52e4,623e3,74e4,855e3,942e3,1012e3,1069e3,1115e3,118e4,1243e3,1288e3
Papua New Guinea,264e3,281e3,296e3,3e5,348e3,383e3,403e3,444e3,513e3,608e3,722e3,896e3,1084e3,1285e3,1464e3,1636e3,1838e3,2082e3,2417e3,2755e3,3078e3
